career_id,skill_id,required_level
C001,SK001,4
C001,SK009,4
C001,SK010,3
C001,SK011,3
C001,SK014,2
C001,SK015,2
C001,SK005,3
C001,SK024,3
C001,SK047,2
C001,SK048,2
C002,SK001,4
C002,SK009,4
C002,SK010,4
C002,SK015,3
C002,SK014,3
C002,SK005,3
C002,SK024,3
C003,SK001,4
C003,SK005,4
C003,SK016,4
C003,SK017,4
C003,SK018,3
C003,SK039,4
C003,SK041,2
C004,SK003,4
C004,SK006,4
C004,SK007,4
C004,SK008,4
C004,SK005,3
C004,SK043,3
C004,SK045,2
C004,SK024,3
C005,SK019,4
C005,SK020,3
C005,SK021,3
C005,SK022,2
C005,SK023,3
C005,SK024,3
C005,SK028,2
C006,SK026,4
C006,SK027,4
C006,SK028,3
C006,SK023,3
C006,SK038,4
C006,SK024,2
C007,SK021,4
C007,SK022,4
C007,SK019,3
C007,SK023,4
C007,SK024,4
C007,SK043,2
C008,SK049,4
C008,SK050,4
C008,SK005,4
C008,SK046,3
C008,SK001,3
C008,SK016,3
C008,SK019,2
