student_id,event_id,status,interaction_score
S001,E024,registered,7
S001,E011,saved,4
S001,E017,viewed,1
S001,E050,registered,7
S001,E007,viewed,1
S002,E055,saved,4
S002,E056,viewed,1
S002,E001,viewed,1
S002,E016,completed,10
S002,E003,registered,7
S003,E036,saved,4
S003,E052,viewed,1
S003,E059,viewed,1
S003,E046,completed,10
S003,E048,viewed,1
S004,E053,saved,4
S004,E005,completed,10
S004,E037,viewed,1
S004,E024,registered,7
S004,E008,completed,10
S005,E026,viewed,1
S005,E005,registered,7
S005,E057,viewed,1
S005,E030,saved,4
S005,E056,viewed,1
S006,E013,registered,7
S006,E019,viewed,1
S006,E037,viewed,1
S006,E051,completed,10
S006,E020,completed,10
S007,E050,registered,7
S007,E013,viewed,1
S007,E047,viewed,1
S007,E058,viewed,1
S007,E035,viewed,1
S008,E023,viewed,1
S008,E041,viewed,1
S008,E054,registered,7
S008,E045,viewed,1
S008,E057,registered,7
S009,E020,viewed,1
S009,E007,completed,10
S009,E014,completed,10
S009,E034,viewed,1
S009,E016,viewed,1
S010,E003,saved,4
S010,E059,registered,7
S010,E015,viewed,1
S010,E058,completed,10
S010,E055,viewed,1
S011,E007,viewed,1
S011,E033,saved,4
S011,E009,viewed,1
S011,E041,saved,4
S011,E053,viewed,1
S012,E019,registered,7
S012,E017,registered,7
S012,E055,registered,7
S012,E021,viewed,1
S012,E060,viewed,1
S013,E005,viewed,1
S013,E013,viewed,1
S013,E009,viewed,1
S013,E050,viewed,1
S013,E038,viewed,1
S014,E023,saved,4
S014,E050,registered,7
S014,E014,viewed,1
S014,E029,registered,7
S014,E020,viewed,1
S015,E046,registered,7
S015,E045,viewed,1
S015,E039,viewed,1
S015,E003,viewed,1
S015,E014,viewed,1
S016,E033,registered,7
S016,E004,viewed,1
S016,E044,completed,10
S016,E020,registered,7
S016,E017,saved,4
S017,E036,registered,7
S017,E016,viewed,1
S017,E007,viewed,1
S017,E030,registered,7
S017,E052,viewed,1
S018,E013,saved,4
S018,E053,saved,4
S018,E026,saved,4
S018,E024,viewed,1
S018,E044,registered,7
S019,E002,viewed,1
S019,E005,viewed,1
S019,E013,completed,10
S019,E058,registered,7
S019,E042,viewed,1
S020,E003,saved,4
S020,E030,registered,7
S020,E004,viewed,1
S020,E011,viewed,1
S020,E060,saved,4
S021,E012,viewed,1
S021,E023,registered,7
S021,E014,viewed,1
S021,E059,saved,4
S021,E018,viewed,1
S022,E019,saved,4
S022,E032,viewed,1
S022,E027,viewed,1
S022,E057,viewed,1
S022,E036,saved,4
S023,E052,registered,7
S023,E034,completed,10
S023,E016,registered,7
S023,E041,viewed,1
S023,E035,saved,4
S024,E032,viewed,1
S024,E023,viewed,1
S024,E059,viewed,1
S024,E037,saved,4
S024,E033,viewed,1
S025,E052,saved,4
S025,E050,registered,7
S025,E018,completed,10
S025,E004,completed,10
S025,E031,viewed,1
S026,E043,registered,7
S026,E016,registered,7
S026,E018,registered,7
S026,E035,completed,10
S026,E053,saved,4
S027,E052,completed,10
S027,E025,viewed,1
S027,E023,viewed,1
S027,E060,viewed,1
S027,E054,registered,7
S028,E023,registered,7
S028,E059,completed,10
S028,E038,saved,4
S028,E002,saved,4
S028,E046,viewed,1
S029,E052,viewed,1
S029,E057,viewed,1
S029,E032,viewed,1
S029,E035,saved,4
S029,E020,viewed,1
S030,E031,viewed,1
S030,E001,viewed,1
S030,E022,registered,7
S030,E059,completed,10
S030,E040,registered,7
S031,E021,registered,7
S031,E004,viewed,1
