project_id,student_id,project_name,description,technologies
P0011,S001,Machine_Project_1,"Synthetic project demonstrating Python, Scikit-learn, Pandas","Python, Scikit-learn, Pandas"
P0012,S001,Machine_Project_2,"Synthetic project demonstrating Pandas, Python, PyTorch","Pandas, Python, PyTorch"
P0021,S002,Cloud_Project_1,"Synthetic project demonstrating Python, Docker, AWS","Python, Docker, AWS"
P0022,S002,Cloud_Project_2,"Synthetic project demonstrating Python, AWS, Linux","Python, AWS, Linux"
P0031,S003,Cloud_Project_1,"Synthetic project demonstrating Docker, Linux, Python","Docker, Linux, Python"
P0032,S003,Cloud_Project_2,"Synthetic project demonstrating AWS, Docker, Python","AWS, Docker, Python"
P0041,S004,Data_Project_1,"Synthetic project demonstrating Scikit-learn, Python, Pandas","Scikit-learn, Python, Pandas"
P0042,S004,Data_Project_2,"Synthetic project demonstrating SQL, Scikit-learn, Pandas","SQL, Scikit-learn, Pandas"
P0051,S005,Data_Project_1,"Synthetic project demonstrating Python, SQL, Scikit-learn","Python, SQL, Scikit-learn"
P0052,S005,Data_Project_2,"Synthetic project demonstrating SQL, Scikit-learn, Python","SQL, Scikit-learn, Python"
P0061,S006,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, AWS, Linux","Kubernetes, AWS, Linux"
P0062,S006,DevOps_Project_2,"Synthetic project demonstrating Linux, Kubernetes, Docker","Linux, Kubernetes, Docker"
P0071,S007,Full_Project_1,"Synthetic project demonstrating PostgreSQL, JavaScript, Node.js","PostgreSQL, JavaScript, Node.js"
P0072,S007,Full_Project_2,"Synthetic project demonstrating React, Node.js, PostgreSQL","React, Node.js, PostgreSQL"
P0081,S008,Data_Project_1,"Synthetic project demonstrating Pandas, Scikit-learn, Python","Pandas, Scikit-learn, Python"
P0082,S008,Data_Project_2,"Synthetic project demonstrating Python, SQL, Scikit-learn","Python, SQL, Scikit-learn"
P0091,S009,Full_Project_1,"Synthetic project demonstrating PostgreSQL, JavaScript, Node.js","PostgreSQL, JavaScript, Node.js"
P0092,S009,Full_Project_2,"Synthetic project demonstrating JavaScript, Node.js, React","JavaScript, Node.js, React"
P0101,S010,Cybersecurity_Project_1,"Synthetic project demonstrating Ethical Hacking, Networking, Linux","Ethical Hacking, Networking, Linux"
P0102,S010,Cybersecurity_Project_2,"Synthetic project demonstrating Linux, Networking, Cloud Security","Linux, Networking, Cloud Security"
P0111,S011,AI_Project_1,"Synthetic project demonstrating LLMs, OpenCV, TensorFlow","LLMs, OpenCV, TensorFlow"
P0112,S011,AI_Project_2,"Synthetic project demonstrating TensorFlow, Python, LLMs","TensorFlow, Python, LLMs"
P0121,S012,Full_Project_1,"Synthetic project demonstrating PostgreSQL, JavaScript, Node.js","PostgreSQL, JavaScript, Node.js"
P0122,S012,Full_Project_2,"Synthetic project demonstrating JavaScript, Node.js, PostgreSQL","JavaScript, Node.js, PostgreSQL"
P0131,S013,DevOps_Project_1,"Synthetic project demonstrating Linux, Kubernetes, AWS","Linux, Kubernetes, AWS"
P0132,S013,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, Linux, Docker","Kubernetes, Linux, Docker"
P0141,S014,Machine_Project_1,"Synthetic project demonstrating Python, Scikit-learn, Pandas","Python, Scikit-learn, Pandas"
P0142,S014,Machine_Project_2,"Synthetic project demonstrating Scikit-learn, PyTorch, Python","Scikit-learn, PyTorch, Python"
P0151,S015,Cybersecurity_Project_1,"Synthetic project demonstrating Cloud Security, Ethical Hacking, Linux","Cloud Security, Ethical Hacking, Linux"
P0152,S015,Cybersecurity_Project_2,"Synthetic project demonstrating Linux, Cloud Security, Ethical Hacking","Linux, Cloud Security, Ethical Hacking"
P0161,S016,AI_Project_1,"Synthetic project demonstrating TensorFlow, Python, LLMs","TensorFlow, Python, LLMs"
P0162,S016,AI_Project_2,"Synthetic project demonstrating Python, LLMs, TensorFlow","Python, LLMs, TensorFlow"
P0171,S017,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, Docker, Linux","Kubernetes, Docker, Linux"
P0172,S017,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, Docker, AWS","Kubernetes, Docker, AWS"
P0181,S018,Cybersecurity_Project_1,"Synthetic project demonstrating Ethical Hacking, Linux, Networking","Ethical Hacking, Linux, Networking"
P0182,S018,Cybersecurity_Project_2,"Synthetic project demonstrating Linux, Ethical Hacking, Cloud Security","Linux, Ethical Hacking, Cloud Security"
P0191,S019,Cybersecurity_Project_1,"Synthetic project demonstrating Networking, Cloud Security, Ethical Hacking","Networking, Cloud Security, Ethical Hacking"
P0192,S019,Cybersecurity_Project_2,"Synthetic project demonstrating Networking, Ethical Hacking, Cloud Security","Networking, Ethical Hacking, Cloud Security"
P0201,S020,DevOps_Project_1,"Synthetic project demonstrating Kubernetes, Linux, AWS","Kubernetes, Linux, AWS"
P0202,S020,DevOps_Project_2,"Synthetic project demonstrating Kubernetes, Linux, AWS","Kubernetes, Linux, AWS"
P0211,S021,Data_Project_1,"Synthetic project demonstrating Python, SQL, Pandas","Python, SQL, Pandas"
P0212,S021,Data_Project_2,"Synthetic project demonstrating Pandas, Python, SQL","Pandas, Python, SQL"
P0221,S022,AI_Project_1,"Synthetic project demonstrating LLMs, Python, TensorFlow","LLMs, Python, TensorFlow"
P0222,S022,AI_Project_2,"Synthetic project demonstrating LLMs, TensorFlow, Python","LLMs, TensorFlow, Python"
P0231,S023,Cloud_Project_1,"Synthetic project demonstrating Linux, Docker, Python","Linux, Docker, Python"
P0232,S023,Cloud_Project_2,"Synthetic project demonstrating AWS, Python, Linux","AWS, Python, Linux"
P0241,S024,DevOps_Project_1,"Synthetic project demonstrating AWS, Kubernetes, Linux","AWS, Kubernetes, Linux"
P0242,S024,DevOps_Project_2,"Synthetic project demonstrating AWS, Linux, Docker","AWS, Linux, Docker"
P0251,S025,DevOps_Project_1,"Synthetic project demonstrating AWS, Linux, Docker","AWS, Linux, Docker"
P0252,S025,DevOps_Project_2,"Synthetic project demonstrating Docker, Linux, AWS","Docker, Linux, AWS"
