event_id,skill_id,required_level
E001,SK001,3
E001,SK011,4
E001,SK047,4
E001,SK048,2
E002,SK001,1
E002,SK009,4
E002,SK017,4
E003,SK010,2
E003,SK015,1
E003,SK013,3
E004,SK001,3
E004,SK005,1
E004,SK016,2
E004,SK017,2
E004,SK039,1
E005,SK003,4
E005,SK006,4
E005,SK007,3
E005,SK043,3
E006,SK026,3
E006,SK027,4
E006,SK038,1
E006,SK023,2
E007,SK019,3
E007,SK021,2
E007,SK023,4
E008,SK021,4
E008,SK022,2
E008,SK019,3
E008,SK024,2
E009,SK049,1
E009,SK050,4
E009,SK001,2
E009,SK005,2
E010,SK036,4
E010,SK037,1
E010,SK004,1
E011,SK029,2
E011,SK030,1
E012,SK031,3
E012,SK032,4
E012,SK042,4
E013,SK035,1
E013,SK003,4
E013,SK005,4
E014,SK028,1
E014,SK019,1
E014,SK026,2
E015,SK012,2
E015,SK001,2
E015,SK011,4
E016,SK013,1
E016,SK014,3
E016,SK015,1
E017,SK040,4
E017,SK041,4
E017,SK018,2
E017,SK005,3
E018,SK005,2
E018,SK045,1
E018,SK046,1
E019,SK033,1
E019,SK034,1
E019,SK004,3
E020,SK024,1
E020,SK025,1
E020,SK003,1
E021,SK001,1
E021,SK011,2
E021,SK047,2
E021,SK048,4
E022,SK001,4
E022,SK009,3
E022,SK017,4
E023,SK010,3
E023,SK015,1
E023,SK013,4
E024,SK001,4
E024,SK005,3
E024,SK016,2
E024,SK017,4
E024,SK039,3
E025,SK003,2
E025,SK006,1
E025,SK007,4
E025,SK043,2
E026,SK026,2
E026,SK027,3
E026,SK038,2
E026,SK023,4
E027,SK019,1
E027,SK021,1
E027,SK023,2
E028,SK021,1
E028,SK022,1
E028,SK019,3
E028,SK024,2
E029,SK049,1
E029,SK050,3
E029,SK001,4
E029,SK005,1
E030,SK036,4
E030,SK037,4
E030,SK004,3
E031,SK029,2
E031,SK030,2
E032,SK031,4
E032,SK032,1
E032,SK042,2
E033,SK035,2
E033,SK003,3
E033,SK005,3
E034,SK028,1
E034,SK019,3
E034,SK026,3
E035,SK012,1
E035,SK001,2
E035,SK011,3
E036,SK013,4
E036,SK014,2
E036,SK015,4
E037,SK040,3
E037,SK041,1
E037,SK018,4
E037,SK005,2
E038,SK005,4
E038,SK045,2
E038,SK046,1
E039,SK033,4
E039,SK034,4
E039,SK004,1
E040,SK024,4
E040,SK025,1
E040,SK003,2
E041,SK001,3
E041,SK011,4
E041,SK047,2
E041,SK048,2
E042,SK001,3
E042,SK009,3
E042,SK017,3
E043,SK010,2
E043,SK015,2
E043,SK013,2
E044,SK001,4
E044,SK005,4
E044,SK016,4
E044,SK017,1
E044,SK039,1
E045,SK003,3
E045,SK006,1
E045,SK007,4
E045,SK043,2
E046,SK026,4
E046,SK027,3
E046,SK038,1
E046,SK023,1
E047,SK019,3
E047,SK021,2
E047,SK023,3
E048,SK021,2
E048,SK022,4
E048,SK019,1
E048,SK024,1
E049,SK049,1
E049,SK050,4
E049,SK001,2
E049,SK005,4
E050,SK036,2
E050,SK037,4
E050,SK004,2
E051,SK029,2
E051,SK030,4
E052,SK031,3
E052,SK032,4
E052,SK042,3
E053,SK035,2
E053,SK003,2
E053,SK005,4
E054,SK028,1
E054,SK019,3
E054,SK026,3
E055,SK012,1
E055,SK001,1
E055,SK011,3
E056,SK013,1
E056,SK014,2
E056,SK015,3
E057,SK040,3
E057,SK041,4
E057,SK018,2
E057,SK005,1
E058,SK005,1
E058,SK045,1
E058,SK046,2
E059,SK033,3
E059,SK034,1
E059,SK004,1
E060,SK024,1
E060,SK025,4
E060,SK003,2
